Species Set Number,Species Name,Species Nemesis ID,RAS Genus Name,RAS Species Name,Species OBIS/WoRMS ID,WoRMS URL,Species Img
1,Codium fragile ssp. Fragile,6897,Codium,fragile subsp. fragile,370562,https://www.marinespecies.org/aphia.php?p=taxdetails&id=370562,https://invasions.si.edu/SpImages/Codium_fragile.jpg
1,Dasysiphonia japonica,13421,Dasysiphonia,japonica,836896,https://www.marinespecies.org/aphia.php?p=taxdetails&id=836896,https://invasions.si.edu/SpImages/Dasysiphonia_japonica_alex_shure.jpeg
1,Grateloupia turuturu,12572,Grateloupia,turuturu,295880,https://www.marinespecies.org/aphia.php?p=taxdetails&id=295880,https://invasions.si.edu/SpImages/Grateloupia_turuturu.jpg
1,Diadumene lineata,52757,Diadumene,lineata,395099,https://www.marinespecies.org/aphia.php?p=taxdetails&id=395099,https://invasions.si.edu/SpImages/Diadumene%20%20lineata%20(Medium).JPG
1,Barentsia benedeni,-94,Barentsia,benedeni,111800,https://www.marinespecies.org/aphia.php?p=taxdetails&id=111800,https://invasions.si.edu/SpImages/Barentsia%20benedeni%20(Medium).jpg
1,Ianiropsis serricaudis,544802,Ianiropsis,serricaudis,255999,https://www.marinespecies.org/aphia.php?p=taxdetails&id=255999,https://invasions.si.edu/SpImages/Ianiropsis_serricaudis.jpg
1,Grandidierella japonica,-82,Grandidierella,japonica,238740,https://www.marinespecies.org/aphia.php?p=taxdetails&id=238740,https://invasions.si.edu/SpImages/Grandidierella_japonica.JPG
1,Microdeutopus gryllotalpa,93477,Microdeutopus,gryllotalpa,102048,https://www.marinespecies.org/aphia.php?p=taxdetails&id=102048,https://invasions.si.edu/SpImages/Microdeutopus%20gryllotalpa.jpg
1,Caprella mutica,-77,Caprella,mutica,146768,https://www.marinespecies.org/aphia.php?p=taxdetails&id=146768,https://invasions.si.edu/SpImages/C%20mutica-1.jpg
1,Hemigrapsus sanguineus,-2,Hemigrapsus,sanguineus,158417,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158417,https://invasions.si.edu/SpImages/1024px-Hemigrapsus_sanguineus.jpg
2,Carcinus maenas,98734,Carcinus,maenas,107381,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107381,https://invasions.si.edu/SpImages/Carcinus%20maenas%20(Medium).JPG
2,Palaemon macrodactylus,96450,Palaemon,macrodactylus,181372,https://www.marinespecies.org/aphia.php?p=taxdetails&id=181372,https://invasions.si.edu/SpImages/Palaemon%20macrodactylus_Melissa.jpg
2,Bugula neritina,-95,Bugula,neritina-type N,111158,https://www.marinespecies.org/aphia.php?p=taxdetails&id=111158,https://invasions.si.edu/SpImages/Bugula%20neritina%20(Medium).JPG
2,Tricellaria inopinata,-572,Tricellaria,inopinata,111254,https://www.marinespecies.org/aphia.php?p=taxdetails&id=111254,https://invasions.si.edu/SpImages/tricellaria-inopinata.jpg
2,Didemnum vexillum,-334,Didemnum,vexillum,250126,https://www.marinespecies.org/aphia.php?p=taxdetails&id=250126,https://invasions.si.edu/SpImages/Figure%202_Didemnum%20vexillum_Sitka_ICDavidson.jpg
2,Diplosoma listerianum,159099,Diplosoma,listerianum,103579,https://www.marinespecies.org/aphia.php?p=taxdetails&id=103579,https://invasions.si.edu/SpImages/150580_1078.JPG
2,Styela clava,159337,Styela,clava,103929,https://www.marinespecies.org/aphia.php?p=taxdetails&id=103929,https://invasions.si.edu/SpImages/Styela%20clava%201%20-%20Copy.jpg
2,Botrylloides violaceus,-100,Botrylloides,violaceus,148715,https://www.marinespecies.org/aphia.php?p=taxdetails&id=148715,https://invasions.si.edu/SpImages/Botrylloides%20violaceus%20(Medium).JPG
2,Botryllus schlosseri,159373,Botryllus,schlosseri,103862,https://www.marinespecies.org/aphia.php?p=taxdetails&id=103862,https://invasions.si.edu/SpImages/Botryllus%20schlosseri%20(Medium).JPG
2,Ascidiella aspersa,159213,Ascidiella,aspersa,103718,https://www.marinespecies.org/aphia.php?p=taxdetails&id=103718,https://invasions.si.edu/SpImages/Ascidiella-aspersa-Andy_Cowley.jpg
3,Ciona intestinalis,159113,Ciona,intestinalis,103732,https://www.marinespecies.org/aphia.php?p=taxdetails&id=103732,https://invasions.si.edu/SpImages/Ciona%20intestinalis%20Keith%20Hiscock.jpg
3,Cladophora sericea,,Cladophora,sericea,145065,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145065,https://img.algaebase.org/images/AC100CF318edf1B61FWUx21121DE/ZrstW8ZjAqL5.jpg
3,Bryopsis plumosa,,Bryopsis,plumosa,144457,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144457,https://img.algaebase.org/images/AC100CF207fc814E71rHH10F2960/B3FRX2kDmkxE.jpg
3,Ulva compressa,,Ulva,compressa,234462,https://www.marinespecies.org/aphia.php?p=taxdetails&id=234462,https://img.algaebase.org/images/3EE735B1076ca38EC2yxm2FCA191/qmcS8728hjjZ.jpg
3,Ulva lactuca,,Ulva,lactuca,145984,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145984,https://img.algaebase.org/images/3EE735B10772e1476EVpJ35003D2/tKqtpKD4V9pC.jpg
3,Ulva linza,,Ulva,linza,234474,https://www.marinespecies.org/aphia.php?p=taxdetails&id=234474,https://img.algaebase.org/images/AC1F21EB02dce3102ANkA78754A0/8ZNxSY2mm44S.jpg
3,Ulva rigida,,Ulva,rigida (blade),145990,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145990,https://img.algaebase.org/images/3EE735B10772e11E76Nrn34620F5/Af2AykVJak2q.jpg
3,Halichondria bowerbanki,48398,Halichondria,bowerbanki,132588,https://www.marinespecies.org/aphia.php?p=taxdetails&id=132588,https://invasions.si.edu/SpImages/Halichondria_bowerbanki_10.7717-peerj.4596_Figure_6_cropped.png
3,Haliclona canaliculata,,Haliclona,canaliculata,157387,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157387,https://media.collections.yale.edu/thumbnail/ypm/ac93d58d-0a8e-4dec-90e4-0cdf764047e7
3,Ectopleura larynx,,Ectopleura,larynx,157933,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157933,https://images.marinespecies.org/thumbs/5651_ectopleura-larynx.jpg?w=700
4,Obelia bidentata,,Obelia,bidentata,117385,https://www.marinespecies.org/aphia.php?p=taxdetails&id=117385,https://images.marinespecies.org/thumbs/106026_obelia-bidentata.jpg?w=700
4,Obelia dichotoma,,Obelia,dichotoma,117386,https://www.marinespecies.org/aphia.php?p=taxdetails&id=117386,https://images.marinespecies.org/thumbs/82304_obelia-dichotoma-linnaeus-1758.jpg?w=700
4,Harmothoe imbricata,,Harmothoe,imbricata,130769,https://www.marinespecies.org/aphia.php?p=taxdetails&id=130769,https://images.marinespecies.org/thumbs/9120_harmothoe-imbricata-linnaeus-1767.jpg?w=700
4,Nereis pelagica,,Nereis,pelagica,130404,https://www.marinespecies.org/aphia.php?p=taxdetails&id=130404,https://images.marinespecies.org/thumbs/23809_zeeduizendpoot1.jpg?w=700
4,Phyllodoce maculata,,Phyllodoce,maculata,334510,https://www.marinespecies.org/aphia.php?p=taxdetails&id=334510,https://images.marinespecies.org/thumbs/1756_phyllodoce-anaitides-maculata.jpg?w=700
4,Dipolydora socialis,,Dipolydora,socialis,131124,https://www.marinespecies.org/aphia.php?p=taxdetails&id=131124,https://thesimonpolychaetelab.com/wp-content/uploads/2019/07/Dipolydora-cf-socialis-regenerating1.jpg
4,Tanais dulongii,,Tanais,dulongii,136546,https://www.marinespecies.org/aphia.php?p=taxdetails&id=136546,https://media.collections.yale.edu/thumbnail/ypm/007e2b6d-bc85-4173-8497-de6bf59b6d80
4,Apocorophium acutum,,Apocorophium,acutum,148604,https://www.marinespecies.org/aphia.php?p=taxdetails&id=148604,https://static.inaturalist.org/photos/245822560/medium.jpeg
4,Monocorophium acherusicum,93590,Monocorophium,acherusicum,225814,https://www.marinespecies.org/aphia.php?p=taxdetails&id=225814,https://invasions.si.edu/SpImages/1024px-Monocorophium_acherusicum.jpg
4,Monocorophium insidiosum,93600,Monocorophium,insidiosum,148592,https://www.marinespecies.org/aphia.php?p=taxdetails&id=148592,https://invasions.si.edu/SpImages/Monocorophium%20insidiosum%20(Medium).jpg
4,Caprella equilibra,,Caprella,equilibra,101830,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101830,https://inaturalist-open-data.s3.amazonaws.com/photos/58185391/medium.jpg
4,Amathia gracilis,,Amathia,gracilis,851589,https://www.marinespecies.org/aphia.php?p=taxdetails&id=851589,https://static.inaturalist.org/photos/582628005/large.jpg
4,Cryptosula pallasiana,156536,Cryptosula,pallasiana,111343,https://www.marinespecies.org/aphia.php?p=taxdetails&id=111343,https://invasions.si.edu/SpImages/Cryptosula%20pallasiana%20(Medium).jpg
